Area,Point,Longitude,Latitude
Caribbean_Sea,1,-67.5372222222,17.3102777778
Caribbean_Sea,2,-67.4458333333,19.1872222222
Caribbean_Sea,3,-65.28,19.5077777778
Caribbean_Sea,4,-65.1022222222,19.2069444444
Caribbean_Sea,5,-65.0061111111,18.7536111111
Caribbean_Sea,6,-64.9925,18.6872222222
Caribbean_Sea,7,-64.8975,18.4894444444
Caribbean_Sea,8,-64.8894444444,18.4597222222
Caribbean_Sea,9,-64.8775,18.4225
Caribbean_Sea,10,-64.8719444444,18.4083333333
Caribbean_Sea,11,-64.8638888889,18.3975
Caribbean_Sea,12,-64.8563888889,18.395
Caribbean_Sea,13,-64.8380555556,18.3933333333
Caribbean_Sea,14,-64.8280555556,18.3966666667
Caribbean_Sea,15,-64.8166666667,18.4030555556
Caribbean_Sea,16,-64.7991666667,18.4077777778
Caribbean_Sea,17,-64.7836111111,18.405
Caribbean_Sea,18,-64.7769444444,18.3869444444
Caribbean_Sea,19,-64.7555555556,18.3769444444
Caribbean_Sea,20,-64.745,18.3775
Caribbean_Sea,21,-64.7433333333,18.3783333333
Caribbean_Sea,22,-64.74,18.3769444444
Caribbean_Sea,23,-64.7283333333,18.3775
Caribbean_Sea,24,-64.7266666667,18.375
Caribbean_Sea,25,-64.7161111111,18.3736111111
Caribbean_Sea,26,-64.7077777778,18.3738888889
Caribbean_Sea,27,-64.7008333333,18.3708333333
Caribbean_Sea,28,-64.6833333333,18.3727777778
Caribbean_Sea,29,-64.6708333333,18.3658333333
Caribbean_Sea,30,-64.6397222222,18.3641666667
Caribbean_Sea,31,-64.6377777778,18.3561111111
Caribbean_Sea,32,-64.6425,18.3441666667
Caribbean_Sea,33,-64.6372222222,18.3208333333
Caribbean_Sea,34,-64.6377777778,18.3186111111
Caribbean_Sea,35,-64.6605555556,18.2897222222
Caribbean_Sea,36,-64.6613888889,18.2786111111
Caribbean_Sea,37,-64.6494444444,18.1925
Caribbean_Sea,38,-64.6341666667,18.0505555556
Caribbean_Sea,39,-64.4930555556,18.0488888889
Caribbean_Sea,40,-64.4505555556,18.0475
Caribbean_Sea,41,-64.3522222222,18.0416666667
Caribbean_Sea,42,-64.3355555556,18.0419444444
Caribbean_Sea,43,-64.2658333333,18.0341666667
Caribbean_Sea,44,-64.0413888889,18.0033333333
Caribbean_Sea,45,-64.0177777778,17.9994444444
Caribbean_Sea,46,-63.9502777778,17.9797222222
Caribbean_Sea,47,-63.8983333333,17.9641666667
Caribbean_Sea,48,-63.8891666667,17.9438888889
Caribbean_Sea,49,-63.9147222222,17.6611111111
Caribbean_Sea,50,-63.9194444444,17.6188888889
Caribbean_Sea,51,-63.9322222222,17.5058333333
Caribbean_Sea,52,-63.9658333333,17.1933333333
Caribbean_Sea,53,-63.9780555556,17.0833333333
Caribbean_Sea,54,-63.9883333333,16.9969444444
Caribbean_Sea,55,-67.5372222222,17.3102777778
US_West_Coast,1,-117.103055556,32.5361111111
US_West_Coast,2,-117.124722222,32.5344444444
US_West_Coast,3,-117.238888889,32.5275
US_West_Coast,4,-117.263888889,32.5536111111
US_West_Coast,5,-117.366944444,32.5725
US_West_Coast,6,-117.464722222,32.5897222222
US_West_Coast,7,-117.826111111,32.6272222222
US_West_Coast,8,-118.605833333,31.1330555556
US_West_Coast,9,-121.791388889,30.5569444444
US_West_Coast,10,-123.289444444,31.7697222222
US_West_Coast,11,-123.845555556,32.3661111111
US_West_Coast,12,-124.196388889,32.9441666667
US_West_Coast,13,-124.454166667,33.67
US_West_Coast,14,-125.281111111,34.5244444444
US_West_Coast,15,-125.723055556,35.2438888889
US_West_Coast,16,-126.314722222,35.7333333333
US_West_Coast,17,-126.758333333,36.2736111111
US_West_Coast,18,-127.121666667,37.0263888889
US_West_Coast,19,-127.633888889,37.7608333333
US_West_Coast,20,-127.883333333,38.4188888889
US_West_Coast,21,-128.523055556,39.4180555556
US_West_Coast,22,-128.762777778,40.3130555556
US_West_Coast,23,-128.672777778,41.2275
US_West_Coast,24,-129.010555556,42.2136111111
US_West_Coast,25,-129.095,42.7927777778
US_West_Coast,26,-129.023888889,43.4394444444
US_West_Coast,27,-128.689722222,44.4119444444
US_West_Coast,28,-128.667222222,45.5119444444
US_West_Coast,29,-128.816944444,46.1836111111
US_West_Coast,30,-129.074722222,46.5652777778
US_West_Coast,31,-131.261388889,47.6652777778
US_West_Coast,32,-132.683333333,48.5422222222
US_West_Coast,33,-133.246388889,48.9630555556
US_West_Coast,34,-134.264166667,49.3775
US_West_Coast,35,-135.316944444,50.0311111111
US_West_Coast,36,-136.7625,51.055
US_West_Coast,37,-137.698333333,51.9011111111
US_West_Coast,38,-138.337222222,52.7533333333
US_West_Coast,39,-138.676666667,53.4888888889
US_West_Coast,40,-138.814722222,53.6775
US_West_Coast,41,-139.543888889,54.2291666667
US_West_Coast,42,-139.938611111,54.6569444444
