Area,Point,Longitude,Latitude
North_Sea,1,-4,62
North_Sea,2,13.82,62
North_Sea,3,13.82,57.743
North_Sea,4,10.57,57.743
North_Sea,5,10.4,57.629
North_Sea,6,9,55.5
North_Sea,7,9.3,54.175
North_Sea,8,10.5,53.20
North_Sea,9,9.50,48.5
North_Sea,10,-5,48.5
North_Sea,11,-5,50.20
North_Sea,12,-4.57,50.53
North_Sea,13,-2.07,51.18
North_Sea,14,-2.36,55.41
North_Sea,15,-4,55.41
North_Sea,16,-5,57.25
North_Sea,17,-4,58.324
Baltic_Sea,1,13.82,62
Baltic_Sea,2,18,66.64
Baltic_Sea,3,31,66.64
Baltic_Sea,4,31,53.20
Baltic_Sea,5,10.5,53.20
Baltic_Sea,6,9.3,54.175
Baltic_Sea,7,9,55.5
Baltic_Sea,8,10.4,57.629
Baltic_Sea,9,10.57,57.743
Baltic_Sea,10,13.82,57.743
